ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size,CategoryValid,CorrectedCategory
{5E215312-5186-41E2-AF8F-5FEA75B2EE72},CRA32503374R,400310004758,390-2030,FS0004,Bike - Parts - Cranks & Chainrings,Crank Bolts With Caps Jis-m8 Steel Pair,,,,TRUE,Bike - Parts - Cranks & Chainrings
{D4E36B7F-57DB-4C60-A36E-60419F3C2B2B},564880,601479872916,564880,564880,Bike - Parts - Saddles,Bontrager - Bontrager Boulevard Fluid - 205mm - Black,Bontrager,,,TRUE,Bike - Parts - Saddles
{5E2E247C-3E64-4CB7-AD0E-608B9413ABD2},5307005,192790639550,IBPJ04CMFA,,Bike - Parts - Brakes - Disc,Shimano - Pad Shimano Metal Finned Disc - Pad - J04cmf,Shimano,,,TRUE,Bike - Parts - Brakes - Disc
{39660D32-AF88-4FBA-99AA-6183C8804ABF},AMA30620071K,710845840135,00.7918.093.000,,Bike - Parts - Derailleurs,Sram - Universal Derailleur Hanger - Aluminum - Black,sram,,UNIVERSAL,TRUE,Bike - Parts - Derailleurs
{4E24332E-6D82-4E91-B11B-61C1E19EE34D},AMA15958640R,,,AMA15958640R,Bike - Parts - Derailleurs,Amazon Der Hanger,,,,TRUE,Bike - Parts - Derailleurs
{BF9F96D1-C5CE-4C78-813F-62DB17A9F04E},5253146,710845853487,00.7518.137.000,,Bike - Parts - Derailleurs,Gx Eagle 12sp Rear Derailleur Long Cage Lunar,,,,TRUE,Bike - Parts - Derailleurs
{7DD0D9C9-717C-4C91-BAC6-6334F870F215},FOR49370139M,710845848384,00.4318.045.005,,Bike - Parts - Suspension,Rockshox - Dust Wiper Kit - 38mm Flangeless Ultra-low Friction Skf 6mm Foam Rings - Zeb - A+/2021+,Rockshox,,,TRUE,Bike - Parts - Suspension
{FCCECDB0-DAE9-44A2-8979-63FC4C3FCF7C},5286069,701822997683,29002-V,,Bike - Parts - Tubeless Accessories,Cushcore - Tire Insert 29 Single - With - Valve,Cushcore,,,TRUE,Bike - Parts - Tubeless Accessories
{8ADC9C1B-50D6-41A9-9C9A-63FE673A7F29},SRA58319437S,710845772498,11.5018.036.012,BR4956,Bike - Parts - Brakes - BrakeSet,Sram - Bulk Trail Caliper Piston Seals For Guide Rrsrsc 10 - Caliper - Sets,sram,,,TRUE,Bike - Parts - Brakes - BrakeSet
{4AB76CBB-8E93-48EE-A58F-6403B2B9A90E},SHI52773961K,192790386959,ESTEF5002PV8A3,,Bike - Parts - Shifters,Shimano - Shifteracerasti3x82f - St-ef500-2asetshftrbrkblk - Black,shimano,Black,,TRUE,Bike - Parts - Shifters
{00470FEB-0D62-4BA0-9B80-6438FFD17389},SHI40175568T,689228731066,Y8VY98020,BR8948,Bike - Parts - Brakes - Levers,Shimano - Bl-m396 Bl-m395 Brake Lever Lid - Unit - Left,shimano,,,TRUE,Bike - Parts - Brakes - Levers
{88B48D6F-D2F1-4C0D-9149-643ED60B235E},579958,710845818011,00.2418.086.000,,Bike - Parts - Cassettes & Freewheels,"Sram - Nx Eagle Cassette - Pg-1230 - 12 Sp, 11-50t",Sram,,"12 SP, 11-50T ",TRUE,Bike - Parts - Cassettes & Freewheels
{8C7A1CAA-6DFE-4E16-B826-644A20B778BA},527137,689228927278,IRD4700GS,,Bike - Parts - Derailleurs,Shimano - Rr Dertiagrags10spd Rd-4700 - Series - Color,Shimano,Series Color,,TRUE,Bike - Parts - Derailleurs
{7BB3E526-C75B-492F-B8D0-645B81B8FC76},MIS326493272,005652,#42,#42-#42,Bike - Parts - Derailleurs,Misc Hanger#42 Derailleur Hanger #42 #42,,,#42,TRUE,Bike - Parts - Derailleurs
