ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size
{C2826E38-FB20-4E3A-8B6C-1C7BA7CCADB7},5265391,601842640722,0275.007.546-VE8,5265391,Bike - Parts - Electric,Battery Bosch powertube 625w vertical us,Bosch,,
{CDFC09FC-EC65-4B53-941D-1C8B7BF1FA25},433292,689228744707,ISMRT86M2,,Bike - Parts - Brakes - Disc,Shim Rotorxt180mmice6-bolt sm-rt86xt180mm6-bolt,Shimano,,
{03D29260-33EB-44CE-8EDF-1D085D574100},413573,185843000094,6902LLB,,Bike - Parts - Bearings,Abec-3 Cartridge bearing 6902 15x28x7,Enduro,,
{85ACB244-3280-43C8-9E27-1DAAE0707160},MIS345751953,009677,#3,#3-#3,Bike - Parts - Derailleurs,Misc Hanger#3 derailleur hanger #3 black #3,,BLACK,#3
{24860342-DDF0-42C0-A1A6-1DFEB5DD616D},5251502,689228344129,EFDTY700TSX6,,Bike - Parts - Derailleurs,Shimano - tourney fd-ty700 triple top swing dual-pull front derailleur - 7/8 sp,Shimano,Series Color,
{622A5EDD-1859-4C48-8B0B-1E0F16F607C1},PRO29362545K,768686259920,,,Bike - Parts,Pro Plugger co2 inflator kit - black,blackburn,Black,
{1FF3480B-501D-40CF-A0AD-1E201A3285E5},W532843,601479564569,W532843,W532843,Bike - Parts - Bearings,Headset Part trek fsa bearing 1.5in,Trek,,
{810FC199-635A-4548-90CE-1E3343753856},JAG42724041E,4715910041888,DCAB98,BR3215,Bike - Parts - Brakes - Pads,"Jagwire - pro ebike disc brake pads - sram g2, guide",jagwire,,
{826167D1-0862-4A0E-AF5B-1E57A60DB299},W300580,745889650594,W300580,W300580,"Bike - Parts - Screws, Bolts and Fasteners",Hanger Trek hanger bolt atb 2010 for 8 series rear each,Trek,,
{E302FDE2-7143-4F6C-A0B1-1F860D2D5CF6},W438471,601479217656,W438471,W438471,Bike - Parts - Wheels,Wheel Rear bontrager duster elite xd tlr 27.5 black,Trek,,
{AF0435D3-1498-49C3-BF3A-1FEA7437E062},5255119,815189020110,10870,,Bike - Parts - Hubs & Skewers,Hotrod Thru-axle adapters black,Rockymounts,,
{50A5E7B3-45A3-4276-B3EA-203FCA1CA0AE},JAG58509900O,4715910020067,DCA063,BR7822,Bike - Parts - Brakes - Pads,Jagwire - sport semi metallic hydraulic disc brake pads - formula oro,jagwire,,FORMULA ORO
{CB9F8FF7-DD0C-4888-B8E7-205C18E20FBC},581403,840226078304,BAA1130,,Bike - Parts - Bearings,40-series Sealed cartridge bearings 41mm - 1-18 ea,Cane Creek,,
{BBC2702B-2BDF-4680-B5CE-2072E8B698E7},PAR53363447R,763477004888,PH-T1.2,TL5328,Bike - Parts - Tools,ParkTool PH-T1.2 P-Handle Torx Compatible Driver Set with Holder,Park Tool,,
{CF864536-55C1-4928-9470-207E3863A5DA},PUS62438254T,840031601254,PK-FEB-690-100,RS0016,Bike - Parts - Suspension,Push Industries polymer rear shock eyelet bearing 2-pieces for one eyelet,push industries,,
{B5EF48D0-2C40-4129-A3AA-20A023D2E098},5251173,689228157675,Y1E512100,,"Bike - Parts - Screws, Bolts and Fasteners",Fc-7800 Clamp bolt 1e5 1210,Shimano,,
{094B4FD8-0E94-4D11-8E21-20BAFC0B4E92},W511147,601479429080,W511147,W511147,Bike - Parts - Suspension,Suspension Part trek bolt m8 x 1.25 x 64,Trek,,
{B6DBC097-E7E6-4FB2-9DAB-20F0D5E54151},WIR221868972,4019238024999,C1230120,,Bike - Parts - Tires,Continental Cross King Tire - 26 x 2.20 Clincher Wire Black PureGrip E25,Continental,,
{9BCF29F1-D247-4988-A735-20FDF0A221F1},ERG23754157K,840226070193,BAH0001K,,Bike - Parts - Grips and Tape,Ergo Control bar ends black,cane creek,,
{78A183EF-E338-4F25-ACA9-212654F05422},CAB40442449R,630950040858,B-246-06,,Bike - Parts - Cables & Housing,Cable Rotor ody gyro knarps cable shortner pair,odyssey,,
{B595D157-6333-49F6-93C8-214E93B3C9AA},RES4219563T,192790241838,EBPB05SRXCS,EBPB05SRXCS,Bike - Parts - Brakes - Pads,Resin Pad w/o fin b05s-rx pad spring w/3 types of split,shimano,,
{6D1D1994-7A2B-4D80-B2FC-215B51D15767},571623,710845813726,00.6418.015.000,,Bike - Parts - Bottom Brackets,Sram - dub english bottom bracket - english/bsa 68/73mm,Sram,,
{FE49AC14-6644-4C77-8D44-21C762C5B89E},ARD21613071R,4717784026596,TB85967100,,Bike - Parts - Tires,Maxxis - ardent tubeless dual exo tire - black - 27.5 x 2.4,maxxis,Black,27.5 X 2.4
{7B2FD682-8F1E-4E8D-AA12-229B9D0105DD},THR39133791A,710845675270,11.6815.022.030,,Bike - Parts - Suspension,Threaded Barb kit remote connection reverb ea,rock shox,,
{7B4066DD-B217-44B7-B061-22D2AC1159FA},QTU41798871E,708752133259,210148QBP,TU1200,Bike - Parts - Tubes,Teravail - fat bike tube - schrader - 26 x 3.5-4.0,teravail,,26 X 3.5-4.0
{8E946BF6-242D-489F-8E69-23253D52FC40},MAG26856301T,,0724713,0724713,Bike - Parts - Brakes - Levers,Magura Brake clamp shroud bolt,,,
{0B179694-B486-4935-A39E-2352BC19C13E},5307008,192790639543,IBPK04SMXA,,Bike - Parts - Brakes,Brake Pad shimano metal disc pad k04smx,Shimano,,
{38E790E5-241F-43A4-BEA3-23A1BC91297F},QBP431818270,SM2879,SM2879,,Bike - Parts - Stems,"Zoom - quick comfort adjustable stem - 120mm, 25.4 clamp",zoom,80-150D,25.4X120
{810EEC05-4A0C-4941-B26A-23B1289A7B43},REM35239350,10844482003220,TRC1 HT,PK4010,Bike - Parts - Tubes,Rema 35 Short Schrader Valve Core Bag of 10,Rema,,
{0F3B9798-6046-437E-BBAC-23CB87EB9211},5252446,812719021869,RLINK,,Bike - Parts - Frame parts,Roadlink 10sp shimano,Shimano,,
{70C87E22-D364-48F7-9150-243F5C0D833B},BAR35739718S,710845626258,11.5015.029.030,,"Bike - Parts - Screws, Bolts and Fasteners",Bar Clampbolt kit mm brakes elixir 543 nls,avid,,
{6ADF850C-DDBA-45E1-9B9D-24416A623FDA},597221,192790386935,,597221,Bike - Parts - Shifters,Shift Lever shimano st-m4050 alivio 3 x 9 black set,Shimano,,
{52827CEC-317D-41DE-9FF2-245FBBE0DD9C},CN72258333S,192790597218,Y06998026,Y06998026,Bike - Parts - Chains,CN-7700 9S CHAIN PIN 100PCS,Shimano,,
{F843F6DE-4164-4B82-A4C0-24665DC95467},JAG641528640,4715910039762,BWC5004,CA2291,Bike - Parts - Cables & Housing,Jagwire Brake cable basics 1.6x2000mm stainless sramshimano road box of 100,shimano,,
{102022FD-E659-4C5D-931F-2483AD683F9B},5252348,812719020015,10432,,Bike - Parts - Cranks & Chainrings,"Wolf Tooth - drop-stop chainring - 32t, 104 bcd, 4-bolt, drop-stop",Wolf Tooth Components,,"32T, 104 BCD"
{B94F5847-2274-4F3C-81FA-24E6D1763AE5},70993,745889135268,70993,70993,Bike - Parts - Tubes,Tube Bontrager standard 650x 18-25 26 x 1.00 presta 48mm,Bontrager,,
{3CDA6FF2-15CC-4D10-9498-251B916D085E},GA321852426D,4260477068736,42411188,,Bike - Parts - Grips and Tape - Grips,Ergon - ga3 lock-on grips - risky red - large,ergon,Risky Red,
{E72AF474-F027-4EDD-A9B8-2564B50072C8},PRO366668360,7613052171913,NPBA20120S0100,,Bike - Parts - Wheels - Accessories,Prolock Brass nipple 14g12mm - black box100,dt swiss,,
{40E2CB3B-0B8A-49BC-8ED0-258E8AADB797},571130,601479930876,571130,571130,Bike - Parts - Tires,Tire Bontrager gr1 team issue 700 x 40c skinwall,Bontrager,,
{FB6C858F-01CB-4762-91D5-25ADB2E278DE},64780,745889071474,64780,64780,Bike - Parts - Tubes,Tube Bontrager standard 24x1.5-2.125 schrader valve,Bontrager,,
{12EC1381-7D48-456E-9C18-26436C240772},CON749183185,4019238074079,01506960000,TR8173,Bike - Parts - Tires,Continental Kryptotal Front Tire - 29 x 2.40 Tubeless Folding Black Soft Enduro Casing E25,Continental,,
{AA416C82-660B-439C-A25C-267E4121AB4D},509775,895428019853,RRSNNW130X42BLK,509775,Bike - Parts - Cranks & Chainrings,"Race Face - narrow wide chainring - black - 42t, 130mm",Raceface,Black,"42T, 130MM"
{35D11441-B408-4495-9FB0-2692CDA6F81B},BEA42842267K,601842824757,5256341,W5256341,Bike - Parts - Bearings,Bearing Trek Suspension 6801 Max 21x12x8mm Black,Trek,,
{F64B6E36-9E2D-436A-B621-274A3DD0A26B},SHI57954513Y,192790617121,EBLM4100LL,BR0535,Bike - Parts - Brakes - Levers,Shimano Deore bl-m4100 replacement hydraulic brake lever - left gray,shimano,,
{03CCF759-5A8D-4187-A781-27FA254299FC},TIR45251193K,763477008350,TPT-1,5305322,Bike - Parts - Tubeless Accessories,Tire Part Park Tool TPT-1 Tubeless Tire Plug Tool Black,Park Tool,,
{6D7728C6-8576-4511-8109-280419B9D191},FWS41943174E,072774180295,,18029,Bike - Parts - Tubes,"Black Ops - defender 8 key freewheel - 1/2 x 3/32, 18t",black ops,,"18T, 1/2 X 3/32"
{5D0D27F9-013B-425C-99B8-28C7628B08C0},HUB29238682M,4710944224184,HSA126.0001.0P,,Bike - Parts - Hubs & Skewers,Hub Part sa hsa-126 gear ind rh 163mm,sturmey-archer,,
{99C7DF5B-1590-4180-B601-28DA7A3508EB},W512884,601479295562,W512884,W512884,Bike - Parts - Tubeless Accessories,Rim Tape bontrager tubeless rim valve road tlr 55,Bontrager,,
{FBC78688-EFD1-4F90-88CD-28E76C8ED2D0},JAN35249250G,,914951,914951,Bike - Parts,J And b importers - great day to fix a bike mug,j and b,,ONE SIZE
{E9555622-B224-4BCD-A088-2917AE35A315},DIS47859565T,844171035160,98-26144,,Bike - Parts - Brakes - Pads,"Hayes - semi-metallic disc brake pads - dyno, stroker, ryde, radar, prime, sport",hayes,,
{BCAA2A47-40FD-4A6C-ACAB-29362E131940},END35886417G,810191012436,BB 6801 LLU MAX-BAG,BB8801,Bike - Parts - Bearings,Enduro Max 6801 sealed cartridge bearing,enduro,,
{A86C132F-6EA8-43D8-9615-2940C2A15262},5285940,701822997591,10011,,Bike - Parts - Tubes,Air Valve set 44mm - royal blue,Cushcore,,
{6DB468BA-1650-48A6-B49B-2974F69D7594},SHI417000603,017103,Y8LF98040,Y8LF98040-M6x36.3,Bike - Parts - Brakes,Shimano Y8lf98040 '20 br-m987 caliper bolt m6x36.3,shimano,,M6X36.3
{5D209C98-77EC-4AC2-815E-29CB128C9C98},W250324,601479223053,W250324,W250324,Bike - Parts - Tubeless Accessories,Rim Tape bontrager tubeless rim valve,Bontrager,,
{84BE4493-1F3B-4C5F-A3F6-2A14806AD3C8},64790,745889071573,64790,64790,Bike - Parts - Tubes,Tube Bontrager standard 700x35-44c 27x1-38-1-34 sv36,Bontrager,,
{6D3FDEF6-3B9D-4830-86C9-2A1AF62C287D},W318627,768682934791,W318627,W318627,Bike - Parts - Cables & Housing,Cable Part trek di2 downtube grommet,Trek,,
{74DEBE9D-90E4-4D12-9BE8-2A271709C1D5},W600627,601842564103,W600627,W600627,Bike - Parts - Suspension,Fastener Trek bolt m12x1.25x81.3 alloy 2021 black,Trek,,
{A460AC98-0A73-43AE-84C7-2AF3BD010F18},MIS3082929S,006603,MISCTIRES/WHEELS,12312411,Bike - Parts - Tires,Misc Tires/wheels misc tires/wheels - 700 x 52c,,,
{2906A02B-F818-4948-AB7C-2B9E23FC50EB},WMD389447249,019647,WMDROPOUT-99,WMDROPOUT-99-#99,Bike - Parts - Derailleurs,Wm Dropout-99 '17 derailleur hanger #99 black #99,,BLACK,#99
{485011C9-8FEB-40D0-8CB9-2BB04FD564A5},BIK29489520M,,#TL01,#TL01,Bike - Parts - Grips and Tape - Grips,Bike Works - screw-on grips - tan - 130mm,bike works,Tan,
{329C91CB-29C8-4DA9-AE33-2BDB94AE824C},JAG61807436X,4715910020111,DCA065,BR7824,Bike - Parts - Brakes - Pads,"Jagwire - mountain semi-metallic hydraulic disc brake pads - avid, promax",jagwire,,"AVID, PROMAX"
{C7B90C95-139E-4835-B2D3-2C1A705F733E},MOU4863175G,192790897806,ESMMAF220PPM,ESMMAF220PPM,Bike - Parts - Brakes - Disc,MOUNT ADAPTER FOR DISC BRAKE CALIPER SM-MA-F220P/PM FIXING,Shimano,,
{A20CD5C2-1653-499F-9667-2C4314A1EEB6},DTS61776657K,7613052139357,W0E1900AGIXSA07017,,Bike - Parts - Wheels,Dt Swiss e 1900 spline 30 front wheel - 27.5 15 x 100mm 6-boltcenter-lock black,dt swiss,,
{4FC26B9B-5CED-437E-A804-2C783E2161F0},CN930881102S,192790597249,Y0AH98016,Y0AH98016,Bike - Parts - Chains,CN-9000 11S CHAIN PIN FOR HG-EV 100PCS,Shimano,,
{E4EE4E4B-0951-4830-A4C8-2D12A8E65FE1},TUB38847865S,710845675959,11.6815.028.010,,Bike - Parts - Seatposts,Tubing Strain relief collar reverb black nls,rockshox,,
{7CFC1B96-65E9-4A74-BAE5-2D2E32C9E01D},511086,601479224593,511086,511086,Bike - Parts - Tires,Tire Bontrager connection trail hard case 29 x 2.0,Bontrager,,
{8C401D6F-C60F-452A-9503-2D74D782973D},ERG29730265L,4260477066114,42410088,HT3074,Bike - Parts - Grips and Tape - Grips,Ergon GA3 Grips - Black Lock-On Small,Ergon,,
{8CE51BE2-9230-46E2-BFF9-2E8D9424DB5D},ZOO56514044H,ST2915,SPS-C372 27.2*350MM,ST2915,Bike - Parts - Seatposts,"Zoom - offset suspension seatpost - 27.2mm diameter, 350mm",zoom,,"27.2MM, 350MM"
{1F9C0B4E-0BF7-4507-9FD1-2F7A6725A315},PDE43899415K,192790617169,,EPDEF205S,Bike - Parts,Pd-ef205 Flat pedal silver w friction plate ind.pack,shimano,,
{DF955170-9B12-49AA-AFD0-2FA0BB4DAD77},W529969,601479594559,W529969,W529969,Bike - Parts - Suspension,Suspension Part generic washer 10 x 16 x 3.0,Trek,,
{050598B9-38BA-4224-9DE7-2FDB1A12156E},553992,601479741229,553992,553992,Bike - Parts - Tires,Tire Bontrager xr2 team issue 27.5x2.6 tlr black,Bontrager,,
{CD1B0370-3032-43D0-AD5B-2FFADC677764},LOW194251894,888818151066,18850-01,OH4410,Bike - Parts - Suspension,Lower Leg seal kt rxf34,ohlins,,
{326B1D80-0485-4FFA-B28E-3068A2C9A3FF},MUC44287413K,5037835205442,20285,,Bike - Parts - Tools,Muc-off - rim stix tire levers - pink,muc-off,Pink,
{6B64135E-9FC5-43CD-BC32-30740F5F23BA},TUB32562464M,072774630035,501003K2,63003,Bike - Parts - Tubes,Sunlite - 8 x 1-1/4 wheel chair tube - schrader valve,sunlite,,8 X 1-1/4
{A22FF7E9-7FD2-4EE0-9BDE-3158D1646859},550172,641300153173,15317,,Bike - Parts - Pedals,Egg Beater 2 pedals black spring,Crank Brothers,,
{2CAB1E6E-D0E9-4785-9163-31AA15BAD377},5253022,192790447537,ESLM3158RA,,Bike - Parts,Shim Shftraltus8spdrtpod sl-m315-8rwogd black,Shimano,Black,
{D9E19D46-E152-47EA-BB11-31EDF6D79960},579118,601842053324,579118,579118,Bike - Parts - Tires,Tire Bontrager xr1 12x2.25,Bontrager,,
{382C842C-657C-46DB-A5AD-3200750744A6},KMC40171211R,766759241032,,,Bike - Parts - Chains,Chain KMC S1 1-Speed 112L Silver,Kmc,Silver,
{AC914541-4954-4CE5-BB48-3255C0A97283},WTB3277079W,714401655836,W065-0583,SA4076,Bike - Parts - Saddles,"WTB Volt Saddle - Chromoly, Black, Narrow",WTB,,
{EEC18890-CC15-44B0-8FA4-3330C93873BB},582045,847746030546,AS0146,,Bike - Parts - Stems,Brass Presta valve stem 44mm universal,Stan'S Notubes,,
{A194A833-53BA-4843-A1FC-33FC58ACC7D0},552414,601479696956,552414,552414,Bike - Parts - Hubs & Skewers,Hub Part bontrager 108 pawls 3 pack,Bontrager,,
{722137AE-26E0-43AD-9102-348A24086F5A},478333E,846635011284,478333E,478333E,Bike - Parts - Seatposts,Seatpost Part electra clamp wrackmounts 28.6 black steel,Electra,,
